user;id_mac;datetime;cpu_percent;cpu_time_user;cpu_ctx_switches;processo_pid_max_cpu;processo_name_max_cpu;processo_cpu_percent_max_cpu;total_processos;virtual_memory_total;virtual_memory_available;disk_read_count;disk_write_count;net_bytes_sent;net_bytes_recv;net_packets_sent;net_packets_recv;net_dropin;net_dropout;net_errin;net_errout;usuarios_logados
vmath;00:d7:6d:20:c0:88;2026-04-10 12:01:28;22.8;25586.27;516327746;0;System Idle Process;80.5875;312;16714698752;4324802560;645779;668299;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:01:37;28.0;25592.44;516465123;0;System Idle Process;76.225;312;16714698752;4341284864;645782;668407;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:01:46;7.7;25595.78;516554456;0;System Idle Process;83.0375;312;16714698752;4349517824;645783;668460;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:01:55;4.9;25600.56;516668426;0;System Idle Process;83.85;312;16714698752;4343140352;645783;668878;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:02:04;18.1;25603.78;516751396;0;System Idle Process;83.625;312;16714698752;4357128192;645784;668925;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:02:14;8.7;25605.87;516816078;0;System Idle Process;83.375;312;16714698752;4350681088;645785;669055;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:02:23;6.0;25608.58;516881432;0;System Idle Process;81.5;312;16714698752;4344025088;645785;669099;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:02:32;7.0;25611.72;516953640;0;System Idle Process;84.6875;311;16714698752;4358557696;645790;669218;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:02:42;9.1;25614.53;517021512;0;System Idle Process;65.5625;311;16714698752;4236976128;645818;669334;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:02:54;7.9;25619.81;517141757;0;System Idle Process;66.2875;310;16714698752;4317802496;645819;669626;9411108;26102042;28757;52269;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:03:07;49.9;25634.5;517428467;0;System Idle Process;32.8125;315;16714698752;4108972032;645993;670224;9937108;26806504;30207;53896;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:03:19;11.4;25656.28;517706887;0;System Idle Process;59.5875;315;16714698752;4186038272;646011;670697;10228674;27056244;30924;54821;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:03:31;39.9;25672.66;517887466;0;System Idle Process;79.05;314;16714698752;4138618880;646046;671192;10492706;27571841;31627;55821;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:03:44;11.9;25680.55;518000083;0;System Idle Process;55.0875;316;16714698752;4166160384;646190;671828;10604978;28851546;32497;57111;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:03:56;15.9;25696.94;518196813;0;System Idle Process;75.725;316;16714698752;4130639872;646195;671974;10697245;28949960;32690;57636;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:04:08;9.1;25702.25;518331108;0;System Idle Process;77.7;313;16714698752;4056182784;646218;672212;10884466;29358638;33200;58673;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:04:20;9.3;25715.03;518500316;0;System Idle Process;79.0375;311;16714698752;4153929728;646830;672539;10990301;29552861;33507;59350;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:04:32;17.7;25721.5;518598467;0;System Idle Process;77.05;311;16714698752;4171329536;646830;672613;11044647;30666835;33967;60447;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:04:43;19.7;25727.03;518722605;0;System Idle Process;63.25;311;16714698752;4197867520;646831;672766;11103135;30748081;34192;60965;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:04:56;69.7;25749.92;519049061;0;MsMpEng.exe;26.8;325;16714698752;3613446144;653768;674971;11285888;32085325;34948;62527;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:05:10;43.2;25786.83;519556140;0;System Idle Process;11.425;308;16714698752;5581516800;657205;677816;11548842;32475100;35672;63638;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:05:23;100.0;25837.27;520166671;8612;MsMpEng.exe;12.55;316;16714698752;4733857792;664484;680754;12362276;35856007;38803;68030;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:05:33;90.8;25899.72;520628255;16340;chrome.exe;23.65;317;16714698752;4491821056;664852;681482;12952809;36785325;40366;70125;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:05:42;31.2;25925.66;520833386;0;System Idle Process;49.3125;315;16714698752;4481654784;664900;681979;13135764;37108111;40947;71022;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:05:51;22.5;25942.91;521003788;0;System Idle Process;78.6625;315;16714698752;4558413824;664901;682281;13198676;37214223;41179;71424;0;0;0;0;1
vmath;00:d7:6d:20:c0:88;2026-04-10 12:06:01;8.9;25949.42;521094048;0;System Idle Process;73.6375;316;16714698752;4731846656;664902;682434;13277563;38385763;41735;72457;0;0;0;0;1
