user;id_mac;timestamp;cpu_percent;cpu_time_user;cpu_ctx_switches;processo_pid_max_cpu;processo_name_max_cpu;processo_cpu_percent_max_cpu;total_processos;virtual_memory_total;virtual_memory_available;disk_read_bytes;disk_percent;disk_write_bytes;net_bytes_sent;net_bytes_recv;net_packets_sent;net_packets_recv;net_errin;net_errout;net_dropin;net_dropout;usuarios_logados
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:10;36.1;25519.59;161201;0;System Idle Process;50.675;283;8367104000;1077166080;34652160;65.7;69987328;133853;46332;532;313;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:18;30.2;25528.52;160896;0;System Idle Process;51.9;283;8367104000;961318912;57010176;65.7;368128;143458;47671;601;297;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:27;15.6;25535.27;136200;0;System Idle Process;67.05;284;8367104000;802062336;57759232;65.7;1723904;180301;58507;596;352;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:36;37.0;25538.98;80968;0;python.exe;44.875;283;8367104000;817848320;32737792;65.7;4392448;146890;55700;653;306;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:47;86.6;25552.95;201223;13648;python.exe;55.225;283;8367104000;661393408;205582336;65.7;2961920;344984;308873;1106;975;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:57;27.2;25567.33;207105;10772;Discord.exe;38.85;282;8367104000;525459456;195122176;65.7;2625536;262081;75938;732;371;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:02:08;100.0;25585.62;228175;19364;System Idle Process;28.05;283;8367104000;563163136;197399552;65.7;28285952;723807;199020;683;724;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:02:16;29.2;25600.03;182209;0;System Idle Process;64.325;282;8367104000;747978752;66435584;65.7;244717568;981530;151621;774;777;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:02:25;30.8;25607.22;95279;0;System Idle Process;64.275;282;8367104000;797499392;17175040;65.7;1570816;247731;37451;521;310;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:10;36.1;25519.59;161201;0;System Idle Process;50.675;283;8367104000;1077166080;34652160;65.7;69987328;133853;46332;532;313;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:18;30.2;25528.52;160896;0;System Idle Process;51.9;283;8367104000;961318912;57010176;65.7;368128;143458;47671;601;297;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:27;15.6;25535.27;136200;0;System Idle Process;67.05;284;8367104000;802062336;57759232;65.7;1723904;180301;58507;596;352;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:36;37.0;25538.98;80968;0;python.exe;44.875;283;8367104000;817848320;32737792;65.7;4392448;146890;55700;653;306;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:47;86.6;25552.95;201223;13648;python.exe;55.225;283;8367104000;661393408;205582336;65.7;2961920;344984;308873;1106;975;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:01:57;27.2;25567.33;207105;10772;Discord.exe;38.85;282;8367104000;525459456;195122176;65.7;2625536;262081;75938;732;371;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:02:08;100.0;25585.62;228175;19364;System Idle Process;28.05;283;8367104000;563163136;197399552;65.7;28285952;723807;199020;683;724;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:02:16;29.2;25600.03;182209;0;System Idle Process;64.325;282;8367104000;747978752;66435584;65.7;244717568;981530;151621;774;777;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:02:25;30.8;25607.22;95279;0;System Idle Process;64.275;282;8367104000;797499392;17175040;65.7;1570816;247731;37451;521;310;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:03:00;38.1;25645.89;194651;19364;System Idle Process;37.475;281;8367104000;648749056;688053760;65.7;1362944;125422;83814;505;326;0;0;0;0;1
muril;4c:44:5b:f2:74:61;2026-04-21 23:03:10;72.4;25656.34;222793;19364;python.exe;31.225;282;8367104000;714403840;654193664;65.7;2043904;201755;175315;590;358;0;0;0;0;1
